Unnamed: 0,ano,nível_experiência,tipo_emprego,cargo,salário_original,moeda_salário,salário_usd,país_residência,percentual_remoto,país_empresa,tamanho_empresa
0,2020,Pleno,Tempo integral,Cientista de Dados,70000,EUR,79833,DE,0,DE,Grande
1,2020,Sênior,Tempo integral,Machine Learning Scientist,260000,USD,260000,JP,0,JP,Pequena
2,2020,Sênior,Tempo integral,Big Data Engineer,85000,GBP,109024,GB,50,GB,Média
3,2020,Pleno,Tempo integral,Product Data Analyst,20000,USD,20000,HN,0,HN,Pequena
4,2020,Sênior,Tempo integral,Engenheiro de Machine Learning,150000,USD,150000,US,50,US,Grande
5,2020,Júnior,Tempo integral,Analista de Dados,72000,USD,72000,US,100,US,Grande
6,2020,Sênior,Tempo integral,Lead Data Scientist,190000,USD,190000,US,100,US,Pequena
7,2020,Pleno,Tempo integral,Cientista de Dados,11000000,HUF,35735,HU,50,HU,Grande
8,2020,Pleno,Tempo integral,Business Data Analyst,135000,USD,135000,US,100,US,Grande
9,2020,Sênior,Tempo integral,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,Pequena
10,2020,Júnior,Tempo integral,Cientista de Dados,45000,EUR,51321,FR,0,FR,Pequena
11,2020,Pleno,Tempo integral,Cientista de Dados,3000000,INR,40481,IN,0,IN,Grande
12,2020,Júnior,Tempo integral,Cientista de Dados,35000,EUR,39916,FR,0,FR,Média
13,2020,Pleno,Tempo integral,Lead Data Analyst,87000,USD,87000,US,100,US,Grande
14,2020,Pleno,Tempo integral,Analista de Dados,85000,USD,85000,US,100,US,Grande
15,2020,Pleno,Tempo integral,Analista de Dados,8000,USD,8000,PK,50,PK,Grande
16,2020,Júnior,Tempo integral,Engenheiro de Dados,4450000,JPY,41689,JP,100,JP,Pequena
17,2020,Sênior,Tempo integral,Big Data Engineer,100000,EUR,114047,PL,100,GB,Pequena
18,2020,Júnior,Tempo integral,Data Science Consultant,423000,INR,5707,IN,50,IN,Média
19,2020,Pleno,Tempo integral,Lead Data Engineer,56000,USD,56000,PT,100,US,Média
20,2020,Pleno,Tempo integral,Engenheiro de Machine Learning,299000,CNY,43331,CN,0,CN,Média
